Name,Artist(s),Album,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valance
Borrowed Time (From Rick and Morty: Season 5),"Rick and Morty, Tennis",Borrowed Time (From Rick and Morty: Season 5),0.668,0.505,181507,0.389,0.00982,0.131,-6.973,0.0297,115.216,0.37
Head Over Heels / Broken,Tears For Fears,Songs From The Big Chair,0.188,0.298,302120,0.704,0.000488,0.777,-9.905,0.0366,95.023,0.655
Tin Man,America,Holiday,0.528,0.646,209867,0.531,0.0133,0.0836,-10.785,0.0671,172.02,0.655
In The Air Tonight - 2015 Remastered,Phil Collins,Face Value (Deluxe Editon),0.551,0.446,336453,0.239,4.1e-06,0.0697,-13.945,0.0316,189.507,0.298
Stairway to Heaven - Remaster,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),0.58,0.338,482830,0.34,0.0032,0.116,-12.049,0.0339,82.433,0.197
No Rain,Blind Melon,Blind Melon,0.619,0.389,217107,0.476,5.09e-05,0.255,-9.342,0.0316,148.117,0.566
Closing Time,Semisonic,20th Century Masters: The Millennium Collection: Best Of Semisonic,0.0204,0.478,274160,0.854,1.21e-06,0.115,-5.454,0.0289,91.854,0.274
Dracula From Houston,Butthole Surfers,Weird Revolution,0.00151,0.58,222707,0.925,0.0013,0.124,-3.904,0.0482,100.155,0.526
Ruler of Everything,Tally Hall,Marvin's Marvelous Mechanical Museum,0.196,0.58,222107,0.791,0.00326,0.0793,-7.604,0.324,83.323,0.343
Everlong,Foo Fighters,The Colour And The Shape,5.99e-05,0.413,250547,0.881,0.000308,0.0805,-5.541,0.0367,158.066,0.364
Losing My Religion,R.E.M.,Out Of Time (25th Anniversary Edition),0.179,0.666,268427,0.855,1.2e-06,0.0987,-5.051,0.0295,125.639,0.803
Tom's Diner,"Suzanne Vega, DNA",Tom's Album,0.0204,0.86,228307,0.439,0.0147,0.0465,-12.264,0.0495,99.144,0.725
Ventura Highway,"America, George Martin",Homecoming,0.104,0.611,211680,0.761,0.0002,0.122,-5.929,0.0283,130.705,0.838
Baba O'Riley,The Who,Who's Next (Deluxe Edition),0.313,0.489,300400,0.724,0.185,0.287,-8.367,0.0352,117.292,0.15
Tiny Dancer,Elton John,Madman Across The Water,0.382,0.414,377093,0.428,0.000243,0.148,-11.097,0.0278,145.075,0.282
The Less I Know The Better,Tame Impala,Currents,0.0115,0.64,216320,0.74,0.00678,0.167,-4.083,0.0284,116.879,0.785
Clint Eastwood,Gorillaz,Gorillaz,0.0253,0.663,340920,0.694,0.0,0.0698,-8.627,0.171,167.953,0.525
House Of The Rising Sun,The Animals,The Animals,0.000385,0.295,271280,0.584,0.218,0.0996,-6.696,0.0345,117.2,0.228
How Soon Is Now? - 2011 Remaster,The Smiths,Hatful of Hollow,0.000854,0.398,408173,0.93,0.121,0.0874,-6.76,0.0615,190.818,0.725
Dream On,Aerosmith,Aerosmith,0.388,0.307,266960,0.433,9.08e-05,0.332,-10.057,0.029,160.9,0.224
Shout,Tears For Fears,Songs From The Big Chair,0.174,0.511,393667,0.942,1.87e-05,0.139,-10.407,0.0429,97.909,0.498
Boulevard of Broken Dreams,Green Day,Greatest Hits: God's Favorite Band,0.00552,0.496,262333,0.682,2.94e-05,0.0589,-4.095,0.0294,167.06,0.474
Roll The Bones,Rush,Roll The Bones,0.0218,0.656,330227,0.826,0.0862,0.0594,-9.692,0.0404,111.195,0.68
Closer To The Heart,Rush,A Farewell To Kings,0.143,0.375,174920,0.807,2.06e-06,0.564,-9.224,0.0731,145.115,0.53
Strange Magic,Electric Light Orchestra,The Essential Electric Light Orchestra,0.772,0.442,246053,0.327,0.0,0.325,-12.831,0.0267,95.394,0.318
Outro,M83,"Hurry Up, We're Dreaming",0.0301,0.226,247027,0.261,0.0677,0.0628,-11.276,0.0339,108.915,0.084
Midnight City,M83,"Hurry Up, We're Dreaming",0.0161,0.526,241440,0.712,0.0,0.179,-6.525,0.0356,105.009,0.32
Bored To Death,blink-182,California,0.00575,0.502,235613,0.966,1.56e-06,0.117,-3.876,0.0946,159.948,0.638
Don't Take The Money,Bleachers,Gone Now,0.000397,0.63,215547,0.885,1.37e-06,0.206,-5.674,0.0406,110.072,0.289
You Can Call Me Al,Paul Simon,Graceland (25th Anniversary Deluxe Edition),0.182,0.776,280000,0.763,0.00647,0.077,-8.124,0.0534,128.433,0.82
Pinch Me,Barenaked Ladies,Maroon,0.0151,0.68,285160,0.857,2.88e-05,0.056,-4.132,0.0373,95.349,0.794
The Kids Aren't Alright,The Offspring,Americana,0.00599,0.52,179600,0.945,4.97e-05,0.0495,-4.197,0.0335,99.603,0.807
Time to Pretend,MGMT,Oracular Spectacular,8.74e-05,0.438,261000,0.94,0.0777,0.3,-3.249,0.0452,100.99,0.421
Alone Again (Naturally),Gilbert O'Sullivan,Back to Front,0.617,0.555,216840,0.521,0.00019,0.184,-6.784,0.0337,171.807,0.633
Good Riddance (Time of Your Life),Green Day,Nimrod,0.183,0.475,153467,0.432,0.0,0.161,-7.844,0.0302,94.605,0.648
I Ran,A Flock Of Seagulls,Edge Of The 80's,0.000466,0.525,220307,0.858,0.878,0.166,-4.927,0.0345,145.492,0.669
The Middle,Jimmy Eat World,Bleed American (Deluxe Edition),0.0424,0.629,168253,0.897,0.0,0.263,-3.401,0.0483,161.944,0.93
Crystals,Of Monsters and Men,Beneath The Skin,0.00202,0.581,243520,0.747,0.000449,0.109,-7.207,0.0303,132.195,0.325
Mad World,"Gary Jules, Michael Andrews",Trading Snakeoil for Wolftickets,0.976,0.344,189507,0.0585,0.000362,0.103,-17.212,0.0373,174.149,0.323
(Don't Fear) The Reaper,Blue Öyster Cult,Agents Of Fortune,0.0029,0.333,308120,0.927,0.000208,0.297,-8.55,0.0733,141.466,0.385
Fireflies,Owl City,Ocean Eyes,0.0275,0.512,228347,0.662,0.0,0.118,-6.797,0.0439,180.114,0.472
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,Honky Chateau,0.433,0.601,281613,0.532,5.95e-06,0.0925,-9.119,0.0286,136.576,0.342
Drops of Jupiter (Tell Me),Train,Drops Of Jupiter,0.153,0.481,259933,0.638,0.0,0.154,-5.862,0.0276,79.064,0.497
Send Me on My Way,Rusted Root,Music From Party of Five,0.114,0.5,263333,0.681,4.01e-05,0.139,-9.556,0.0672,119.46,0.745
Wonderwall (Remastered),Oasis,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered],0.000453,0.372,258733,0.865,0.0,0.234,-4.918,0.0381,174.53,0.478
Go Your Own Way - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),0.0167,0.586,223613,0.941,0.000776,0.068,-5.139,0.0375,135.448,0.831
Happy Together,The Turtles,Happy Together,0.55,0.584,176293,0.367,1.38e-05,0.0818,-9.638,0.0328,120.175,0.588
Some Nights,fun.,Some Nights,0.0178,0.672,277040,0.738,6.75e-05,0.0927,-7.045,0.0506,107.938,0.392
We Are Young (feat. Janelle Monáe),"fun., Janelle Monáe",Some Nights,0.02,0.378,250627,0.638,7.66e-05,0.0849,-5.576,0.075,184.086,0.735
In Your Eyes - 2012 Remaster,Peter Gabriel,So (2012 Remastered),0.0632,0.621,330373,0.645,9.63e-06,0.0703,-9.37,0.0352,89.284,0.63
Hey There Delilah,Plain White T's,Hey There Delilah,0.819,0.527,233200,0.452,0.0,0.102,-7.844,0.0293,103.851,0.311
The Other Side,Scissor Sisters,Ta Dah,0.124,0.659,262733,0.82,0.061,0.154,-5.736,0.0318,119.029,0.745
Bohemian Rhapsody - Remastered 2011,Queen,Queen 40 Limited Edition Collector's Box Set,0.289,0.391,354320,0.402,0.0,0.243,-9.961,0.0539,143.879,0.228
Secrets,OneRepublic,Waking Up (Deluxe),0.0717,0.516,224680,0.764,0.0,0.115,-6.223,0.0366,148.021,0.376
Good Life,OneRepublic,Waking Up (Deluxe),0.0785,0.636,253307,0.694,0.0,0.121,-7.796,0.051,94.989,0.687
Carry on Wayward Son,Kansas,Leftoverture (Expanded Edition),0.00321,0.482,323000,0.786,8.88e-05,0.446,-5.735,0.032,126.755,0.793
All These Things That I've Done,The Killers,Hot Fuss,0.00156,0.557,301573,0.728,5.13e-06,0.118,-6.181,0.0405,118.241,0.216
Chasing Cars,Snow Patrol,Eyes Open,0.209,0.563,267933,0.592,5.08e-05,0.132,-4.571,0.0276,104.016,0.136
Bitter Sweet Symphony - Remastered 2016,The Verve,Urban Hymns (Remastered 2016),0.0335,0.356,357267,0.917,0.0,0.406,-6.006,0.0479,171.176,0.518
Kids,MGMT,Oracular Spectacular,0.00076,0.451,302840,0.931,0.0049,0.361,-3.871,0.0719,122.961,0.172
When You Were Young,The Killers,Sam's Town,0.000152,0.467,220427,0.988,0.0484,0.28,-3.313,0.112,130.433,0.321
Major Tom (Coming Home),Peter Schilling,The Different Story (World Of Lust And Crime),0.153,0.787,301373,0.42,0.164,0.169,-14.32,0.0645,161.247,0.838
Adventure of a Lifetime,Coldplay,A Head Full of Dreams,0.00205,0.638,263787,0.924,0.000175,0.149,-3.887,0.036,111.995,0.53
Paradise,Coldplay,Mylo Xyloto,0.0509,0.449,278719,0.585,8.75e-05,0.0833,-6.761,0.0268,139.631,0.212
Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,0.0954,0.486,242373,0.617,3.23e-06,0.109,-7.115,0.0287,138.015,0.417
The Calling,"TheFatRat, Laura Brehm",The Calling,0.423,0.672,233591,0.504,0.00885,0.117,-8.284,0.0322,109.998,0.109
Big Bad World One,Jonathan Coulton,Thing a Week Four,0.0353,0.539,170400,0.83,0.0,0.185,-6.642,0.0552,74.985,0.615
Stressed Out,Twenty One Pilots,Blurryface,0.0462,0.734,202333,0.637,2.29e-05,0.0602,-5.677,0.141,169.977,0.648
Do You Remember,Ra Ra Riot,The Orchard,0.0328,0.558,211653,0.665,1.27e-05,0.0992,-7.652,0.0386,145.977,0.753
Boy,Ra Ra Riot,Boy,0.0364,0.579,190907,0.861,0.00796,0.403,-5.542,0.0467,161.959,0.78
Dying Is Fine,Ra Ra Riot,The Rhumb Line,0.0632,0.479,231720,0.878,0.0761,0.251,-5.033,0.0817,155.969,0.501
Jerk It Out,Caesars,Love For The Streets,0.0171,0.58,195667,0.981,1.07e-05,0.386,-2.603,0.06,134.007,0.861
Dust in the Wind,Kansas,Point Of Know Return (Expanded Edition),0.367,0.475,206267,0.322,0.00056,0.11,-10.687,0.0283,93.503,0.387
A Horse with No Name,"America, George Martin",America,0.687,0.653,252240,0.507,0.0147,0.155,-17.18,0.0534,123.188,0.831
Come Sail Away,Styx,Gold,0.129,0.285,365000,0.562,1.29e-06,0.0987,-7.467,0.0306,147.696,0.123
Everybody Wants To Rule The World,Tears For Fears,Shout: The Very Best Of Tears For Fears,0.38,0.687,247533,0.886,0.00646,0.0702,-8.219,0.0485,112.073,0.467
Feel Good Inc.,Gorillaz,Demon Days,0.00836,0.818,222640,0.705,0.00233,0.613,-6.679,0.177,138.559,0.772
Space Oddity - 2015 Remaster,David Bowie,David Bowie (aka Space Oddity) [2015 Remaster],0.0726,0.31,318027,0.403,9.27e-05,0.139,-13.664,0.0326,134.48,0.466
Solsbury Hill,Peter Gabriel,Peter Gabriel 1: Car (Remastered),0.355,0.678,261560,0.631,0.000268,0.376,-8.624,0.0301,102.378,0.463
Livin' Thing,Electric Light Orchestra,A New World Record,0.583,0.549,212307,0.651,0.0,0.121,-7.097,0.0323,122.818,0.368
Piano Man,Billy Joel,Piano Man,0.618,0.334,336200,0.477,4.17e-06,0.312,-8.806,0.0276,179.239,0.405
Island In The Sun,Weezer,Weezer,0.00719,0.654,200307,0.81,0.00251,0.165,-6.26,0.0288,114.622,0.661
Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),0.0576,0.559,264307,0.345,0.000105,0.141,-13.496,0.0459,84.581,0.458
Free Bird,Lynyrd Skynyrd,Pronounced' Leh-'Nerd 'Skin-'Nerd,0.0742,0.249,547107,0.834,9.69e-05,0.0924,-8.21,0.0574,118.222,0.337
Starman - 2012 Remaster,David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),0.166,0.486,254293,0.449,2.23e-06,0.54,-10.298,0.0267,100.456,0.549
