Name,Artist(s),Album,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valance
Always Forever,Cults,Static,0.00181,0.174,223747,0.742,0.281,0.198,-5.93,0.0485,163.378,0.36
When Your Heart Stops Beating,+44,When Your Heart Stops Beating,0.000367,0.416,192787,0.967,0.0,0.0632,-2.289,0.109,171.032,0.431
It's Time,Imagine Dragons,Night Visions,0.016,0.656,240307,0.884,0.0,0.144,-4.748,0.0372,105.009,0.858
In a Jar,Dinosaur Jr.,You're Living All Over Me,0.000825,0.317,208667,0.941,0.000651,0.1,-5.632,0.0729,157.958,0.625
Hot Water,King Gizzard & The Lizard Wizard,I'm In Your Mind Fuzz,0.859,0.627,203787,0.609,0.891,0.116,-9.387,0.0332,86.863,0.734
"Fine, Great",Modern Baseball,You're Gonna Miss It All,0.0595,0.61,148047,0.738,0.0,0.062,-5.949,0.0609,131.994,0.748
Evolution,311,Soundsystem,0.171,0.774,257133,0.822,0.0,0.0346,-7.791,0.0925,90.922,0.895
Russian Roulette,The Murlocs,Calm Ya Farm,9.68e-05,0.407,234850,0.93,0.642,0.0397,-4.816,0.0902,173.986,0.651
Can I Go With You,Gilbert O'Sullivan,Back to Front (Deluxe Edition),0.171,0.796,166573,0.642,2.51e-06,0.0708,-7.859,0.0291,105.969,0.973
Celestial Dogs,The Lewers,518A,0.0155,0.466,204547,0.709,0.833,0.0986,-8.799,0.0303,153.331,0.752
Broken Candle,Wand,Ganglion Reef,0.00498,0.402,160520,0.888,0.0141,0.228,-4.345,0.0543,139.938,0.593
Devil's Haircut,"The Knocks, Foster The People",Melody & Silence,0.0588,0.693,183004,0.877,0.0206,0.226,-5.336,0.0423,123.954,0.766
Two Fingers,Jake Bugg,Jake Bugg,0.00252,0.486,195987,0.677,0.0,0.102,-5.227,0.0314,120.576,0.913
Electric Feel,MGMT,Oracular Spectacular,0.0709,0.763,229640,0.803,0.285,0.348,-3.713,0.0351,103.04,0.561
Twilight,bôa,Twilight,0.158,0.386,228800,0.826,0.000489,0.101,-7.847,0.114,187.094,0.376
Never as Tired as When I'm Waking Up,LCD Soundsystem,LCD Soundsystem,0.408,0.647,289893,0.482,0.0222,0.199,-6.631,0.0262,125.816,0.359
You Only Live Once,The Strokes,First Impressions Of Earth,0.0238,0.63,189227,0.908,0.592,0.116,-2.42,0.0326,120.522,0.968
Party Rock Anthem,"LMFAO, Lauren Bennett, GoonRock",Sorry For Party Rocking,0.0202,0.75,262147,0.736,0.0,0.265,-4.168,0.155,130.011,0.355
New Flesh,Current Joys,Wild Heart,0.887,0.62,167987,0.594,0.5,0.0917,-16.066,0.0383,165.861,0.698
The Best Ever Death Metal Band in Denton,The Mountain Goats,All Hail West Texas (Remastered),0.762,0.383,156960,0.643,0.0095,0.386,-7.659,0.0393,62.266,0.78
